Pressure,time,Temperature Fill,time,Temperature Empty,time,Official Time
530,139.593520042,-248.8,139.601994666,-248.10000000000002,139.605660959,139.609269293
550,139.746560711,-249.8,139.750567838,-249.2,139.75412213,139.757684963
520,139.930509917,-248.5,139.93449954,-249.1,139.938046204,139.941629495
520,140.073368492,-248.5,140.077321033,-249.2,140.080806283,140.084237201
530,140.218793825,-249.1,140.222868827,-248.8,140.226433952,140.229902494
560,140.365541534,-248.6,140.36953499,-248.89999999999998,140.373158573,140.376777743
540,140.539507918,-249.5,140.54340321,-248.5,140.546940751,140.550475876
525,140.685143083,-248.4,140.689121336,-248.8,140.69268071,140.696220585
520,140.865538417,-249.6,140.869506958,-248.7,140.873013293,140.876463124
550,141.010054249,-249.3,141.014054583,-248.9,141.017645249,141.021130081
550,141.156658457,-248.10000000000002,141.160661957,-248.7,141.164307914,141.167841788
545,141.30123187,-247.60000000000002,141.305245828,-248.6,141.308740495,141.312248039
530,141.445457743,-249,141.449485619,-249.2,141.453053745,141.456609371
525,141.587233293,-249.1,141.591407377,-249,141.594763166,141.598285832
555,141.770989293,-249.9,141.775043294,-249.3,141.778607002,141.781993
545,141.943414293,-248.4,141.947376875,-248.8,141.950890917,141.954343832
535,142.092763256,-248.39999999999998,142.096638255,-248.10000000000002,142.100161089,142.103615006
540,142.266816419,-247.9,142.270823878,-249,142.274459919,142.277992169
535,142.408032132,-249.5,142.412285008,-248.89999999999998,142.415827006,142.419091673
555,142.556184253,-248.3,142.560209254,-248.8,142.563801465,142.567316051
550,142.713573803,-248.3,142.717536386,-248.9,142.721124926,142.724632343
575,142.858752841,-248,142.862786633,-248.6,142.8663503,142.869946425
530,143.0036478,-249,143.007577924,-248.5,143.011090256,143.014599715
560,143.149990627,-248.7,143.153986041,-248.6,143.157613791,143.161139956
580,143.295213956,-248.4,143.299233122,-248.7,143.302767539,143.306176748
560,143.443626579,-248.89999999999998,143.447667037,-249,143.451335622,143.454970329
540,143.590570794,-247.9,143.594612126,-248.7,143.598213961,143.601727461
555,143.740183876,-248.5,143.74420679,-248.89999999999998,143.747721875,143.751244711
535,143.920126917,-248,143.924093543,-248.9,143.927669333,143.931187707
565,144.066984372,-249,144.070974955,-248.9,144.074553038,144.078039912
560,144.214439414,-249.7,144.218652161,-249.6,144.22227183,144.225741081
585,144.365590536,-248,144.36957391,-249.10000000000002,144.373088703,144.376616328
565,144.539613288,-248.4,144.543600497,-248.3,144.547147455,144.550627664
550,144.692437578,-249.7,144.69641816,-248.3,144.699981617,144.703423451
550,144.869935375,-249.7,144.873838624,-249,144.877346622,144.88085633
550,145.012588746,-248.2,145.016491702,-248.7,145.020047077,145.023394785
560,145.156754457,-248.89999999999998,145.160704872,-248.6,145.164305411,145.167747162
560,145.304686953,-247.9,145.308620704,-249.2,145.312145871,145.315641996
555,145.483699912,-248.2,145.487686036,-248.3,145.491260328,145.494719868
555,145.628249199,-247.9,145.632159492,-248.2,145.635730324,145.639124364
550,145.783286868,-248.8,145.787246493,-248.7,145.790804286,145.794287743
550,145.929581488,-248.4,145.933641654,-249.2,145.937265652,145.940807483
565,146.073063401,-248.5,146.076935901,-248.8,146.08046111,146.083824527
570,146.217546364,-247.9,146.221473657,-248.6,146.225013532,146.228534241
565,146.362198572,-249.60000000000002,146.366211822,-248.8,146.369884115,146.373386865
560,146.506971988,-249.3,146.510900737,-249.1,146.514489945,146.517979651
555,146.653496321,-248.3,146.657358197,-248.6,146.660865075,146.664267741
570,146.811230861,-249.9,146.815243821,-249.7,146.818717694,146.822214363
570,146.96097244,-248.4,146.964853941,-248.8,146.968416358,146.97186665
580,147.108799272,-248.2,147.112715312,-248.5,147.116348105,147.119859855
585,147.25533064,-248.2,147.259351848,-248.39999999999998,147.26300643,147.266504472
555,147.403394888,-248.3,147.407327012,-248.7,147.410869054,147.41434176
560,147.550235716,-248.2,147.554205007,-248.89999999999998,147.557718465,147.561259634
580,147.699622591,-248.7,147.703584259,-249.3,147.707119383,147.71059284
570,147.854976213,-247.8,147.858938962,-249.2,147.862439255,147.865964423
570,148.003176381,-249.1,148.007037339,-248.9,148.010547174,148.014096133
595,148.150592007,-248.8,148.154466883,-248.8,148.158025593,148.161488718
565,148.321915763,-249.8,148.326014889,-248.4,148.329604929,148.333201638
560,148.466772892,-248,148.470714891,-248.8,148.4742981,148.4777186
585,148.613950887,-249.6,148.617784056,-249.10000000000002,148.621347473,148.62479414
570,148.767267387,-248.5,148.771130261,-248.8,148.77467772,148.778151345
585,148.914152929,-248.4,148.918080345,-248.6,148.921635386,148.925343385
585,149.060556462,-249.6,149.064501794,-248.89999999999998,149.068035755,149.07152788
580,149.20761776,-247.3,149.211481134,-248.89999999999998,149.215119216,149.218550964
560,149.354148759,-248.6,149.358182801,-248.5,149.361784259,149.365267302
580,149.501708963,-247.6,149.505619046,-248.7,149.509156966,149.512590673
575,149.647806759,-249.5,149.65177455,-249,149.655434549,149.658872467
575,149.802297133,-248.8,149.806351468,-248.6,149.810033468,149.81352026
580,149.949335217,-248.3,149.953209759,-248.5,149.956736259,149.960455631
565,150.096747464,-249,150.100778047,-249,150.104337045,150.107854879
565,150.24245021,-248.2,150.246439916,-249.2,150.250030167,150.2535555
580,150.389942582,-249.6,150.393936083,-248.8,150.397526,150.400992582
575,150.535766456,-248.39999999999998,150.539818165,-249.2,150.543375957,150.546959582
580,150.681665377,-248.10000000000002,150.685631835,-248.7,150.689161251,150.692717669
560,150.837098042,-248.3,150.84099579,-248.2,150.844535873,150.848007915
565,150.983315121,-247.1,150.987407996,-248.89999999999998,150.99099137,150.99449033
565,151.125853532,-248.7,151.130005199,-248.8,151.133570282,151.136894783
590,151.268350654,-247.3,151.272560904,-248.89999999999998,151.276112073,151.279406907
585,151.412992074,-248.6,151.416954449,-248.89999999999998,151.42049224,151.424028364
580,151.55955803,-247.8,151.56363624,-248.39999999999998,151.567198198,151.570738239
580,151.73524365,-249.2,151.739388817,-248.7,151.743016111,151.746323402
575,151.891555193,-249.3,151.895570817,-248.5,151.899164108,151.902705231
580,152.038670856,-248,152.042663772,-248.8,152.046191063,152.049737733
590,152.18308148,-248.5,152.187121771,-248.7,152.190681852,152.194355147
590,152.326641731,-247.60000000000002,152.330793232,-248.89999999999998,152.334434565,152.338002524
580,152.466291281,-248.2,152.470305865,-248.5,152.474056032,152.477609156
575,152.639092153,-248.3,152.643239946,-248.7,152.646819944,152.650327276
565,152.787747859,-248.8,152.791665359,-249,152.795260234,152.798785945
585,152.932021647,-249.9,152.935863023,-248.8,152.939439605,152.942919147
580,153.074393478,-248.3,153.078241852,-248.5,153.081790894,153.085223771
580,153.220250102,-249.3,153.224156477,-248.8,153.227786685,153.231210934
585,153.362715597,-248.4,153.366742304,-248.4,153.370279802,153.373782009
